domanda,risposta_gold,risposta,se_corretta
Qual è il requisito minimo di CFU richiesto per accedere ai benefici ER.GO?,"A. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.","A
    The text of the correct answer is: Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.",True
In quale delle seguenti date l'International Desk di Bologna sarà chiuso?,B. venerdì 29 marzo 2024,"A
    venerdì 4 ottobre 2024",False
Quali sono i requisiti minimi per l'ammissione al terzo anno del corso di laurea in Astronomia?,B. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS,"B
    B. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS",True
"Per essere ammessi al secondo anno del Corso di Laurea in Chimica e Chimica dei Materiali, quali CFU sono necessari in totale?",A. 70 CFU,D. 50 CFU,False
Qual è la data limite per la presentazione della domanda di Abbreviazione di Corso per chi si immatricola in seguito ad una carriera chiusa?,D. 28 Novembre 2024,"D
    D. 28 Novembre 2024",True
"Per poter ottenere l'esenzione dal pagamento della contribuzione, gli studenti con certificazione di invalidità civile pari o superiore al 66% devono:",B. inviare il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,"B
    B. inviare il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it",True
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana?,A. 02/09/2024,A. 02/09/2024,True
"Secondo il bando, qual è il numero minimo di crediti ECTS necessari per l'ammissione al secondo anno di un corso di laurea?",B. 30,"B
    (30)",True
"Per l'ammissione al terzo anno di un corso di laurea, quanti punti vengono assegnati per ogni credito riconosciuto?",B. ½ punto,C. 1 punto,False
Entro quale data gli studenti recuperati devono iscriversi al corso?,A. 10 ottobre 2024,"D
    The text of the correct answer is: 7 ottobre 2024",False
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,D. 28 febbraio 2025,"D
    D. 28 febbraio 2025",True
"Secondo il bando, entro quale data deve essere presentata la domanda di passaggio di corso per gli studenti già iscritti ad altro corso di studio all'Università di Bologna?",C. 07/10/2024,D. 12/08/2024.,False
Entro quale termine è possibile presentare un ricorso contro il provvedimento riguardante l'accreditamento dei corsi di studio?,B. 60 giorni dalla pubblicazione del bando,B. 60 giorni dalla pubblicazione del bando.,True
