domanda,risposta_gold,risposta,se_corretta
Qual è il requisito minimo di CFU richiesto per accedere ai benefici ER.GO?,"C. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.","C. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.",True
In quale delle seguenti date l'International Desk di Bologna sarà chiuso?,A. venerdì 29 marzo 2024,D. venerdì 4 ottobre 2024,False
Quali sono i requisiti minimi per l'ammissione al terzo anno del corso di laurea in Astronomia?,C. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS,C. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS,True
"Per essere ammessi al secondo anno del Corso di Laurea in Chimica e Chimica dei Materiali, quali CFU sono necessari in totale?",C. 70 CFU,C. 70 CFU,True
Qual è la data limite per la presentazione della domanda di Abbreviazione di Corso per chi si immatricola in seguito ad una carriera chiusa?,D. 28 Novembre 2024,C. 19 Settembre 2024,False
"Per poter ottenere l'esenzione dal pagamento della contribuzione, gli studenti con certificazione di invalidità civile pari o superiore al 66% devono:",C. inviare il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,C. segniciati attestanti la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,True
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana?,A. 02/09/2024,D. 19/09/2024,False
"Secondo il bando, qual è il numero minimo di crediti ECTS necessari per l'ammissione al secondo anno di un corso di laurea?",B. 30,B. 30,True
"Per l'ammissione al terzo anno di un corso di laurea, quanti punti vengono assegnati per ogni credito riconosciuto?",C. ½ punto,C. ½ punto,True
Entro quale data gli studenti recuperati devono iscriversi al corso?,D. 10 ottobre 2024,B. 16 ottobre 2024,False
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,C. 28 febbraio 2025,C. 28 febbraio 2025,True
"Secondo il bando, entro quale data deve essere presentata la domanda di passaggio di corso per gli studenti già iscritti ad altro corso di studio all'Università di Bologna?",C. 07/10/2024,C. 07/10/2024,True
Entro quale termine è possibile presentare un ricorso contro il provvedimento riguardante l'accreditamento dei corsi di studio?,B. 60 giorni dalla pubblicazione del bando,B. 60 giorni dalla pubblicazione del bando,True
Qual è la conseguenza penale per chi fornisce dichiarazioni false nel modulo?,D.  È punito ai sensi del codice penale e delle leggi speciali in materia.,D.  È punito ai sensi del codice penale e delle leggi speciali in materia.,True
