domanda,risposta_gold,risposta,se_corretta
A cosa possono rivolgersi gli studenti dell'Università di Bologna per ricevere supporto relativo alle attività didattiche e integrative?,C. I tutor dei Corsi di Studio,C. I tutor dei Corsi di Studio,True
Qual è il tipo di accesso richiesto per il corso di laurea in Sviluppo e Cooperazione Internazionale?,C. Numero programmato - TOLC-E,"C
    C. Numero programmato - TOLC-E",True
Quando è possibile iscriversi alla selezione straordinaria per l'accesso al CdS SVIC per l'anno accademico 2024-2025?,D. Dal 10 settembre al 19 settembre 2024,"D
    The text of the correct answer is: Dal 10 settembre al 19 settembre 2024",True
Quale evento accademico si svolge il 2 ottobre 2024 presso l'università?,B. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”,"B
    B. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”",True
"Quale tra i tre corsi di laurea si concentra principalmente sullo studio delle scienze sociali, con particolare attenzione alla scienza politica e alla sociologia, fornendo agli studenti gli strumenti per analizzare il comportamento individuale e di gruppo nell'arena politica e nella vita sociale?","B. Scienze Politiche, Sociali e Internazionali (SPOSI)","B
    B. Scienze Politiche, Sociali e Internazionali (SPOSI)",True
Quale delle seguenti affermazioni descrive correttamente la caratteristica principale del Corso di Scienze Internazionali e Diplomatiche (SID)?,C. Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.,C. Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.,True
A quale classe di laurea appartiene il corso di laurea SVIC?,"C. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace","C

    The correct answer is: C. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace.",True
In quale anno è possibile accedere al programma di scambio di Buenos Aires per il corso di laurea in Scienze Politiche Sociali Internazionali?,D. Al primo anno,A. Al secondo anno,False
Quale tra le seguenti NON è una funzione esercitata dal Consiglio di Corso?,D.  predisposizione dei calendari e delle commissioni degli esami di laurea,"C
    The text of the correct answer is: C.  elezione del Coordinatore del Corso",False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","A. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.","A. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.",True
Quali servizi di supporto vengono offerti ai studenti per migliorare il loro apprendimento?,C. Servizi di tutorato dedicati per attività di supporto peer to peer.,C. Servizi di tutorato dedicati per attività di supporto peer to peer.,True
"Per poter partecipare alle selezioni per il Corso di Laurea in Sviluppo e cooperazione internazionale, è necessario sostenere:",B. Il TOLC-E,"B
    The text of the correct answer is: B. Il TOLC-E",True
Quando è possibile sostenere il TOLC per l'a.a. 2024/25 presso l'Università di Bologna?,B. Tra febbraio e luglio 2024,"B
    Tra febbraio e luglio 2024",True
Qual è la data limite per l'inserimento dell'attestazione ISEE per evitare il pagamento della mora?,C. 30 ottobre 2024 ore 18:00,"C
    C. 30 ottobre 2024 ore 18:00",True
A chi è rivolta la selezione straordinaria per i corsi di laurea a numero programmato per l'anno accademico 2024/2025?,"D. Cittadini italiani, cittadini dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con cittadini dell'UE","D
    The text of the correct answer is: ""cittadini italiani, cittadini dell’Unione Europea, cittadini non -UE equiparati e cittadini non -UE residenti all’estero che devono concorrere con cittadini UE""",True
