domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,A. Numero programmato - TOLC-I,A. Numero programmato - TOLC-I.,True
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,B.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,"C

    The function of nomination of professors is not a function svolta dal Consiglio di Corso, as per the given context.",False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","D. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","D.
    The text of the correct answer is: D. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,B. Servizi di tutorato dedicati al supporto peer to peer.,"B

    The correct answer is: Servizi di tutorato dedicati al supporto peer to peer.",True
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","C. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",D. Quando il relatore richiede un voto di 5 o 6 punti e la Commissione esprime unanimemente il proprio parere positivo.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,D. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,"A

    The statement ""Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse."" is false.
    The TOLC-I test can be taken at any university, not necessarily at the same location as the course of interest.",False
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",C. 1 ora e 50 minuti,"C
    C. 1 ora e 50 minuti",True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,A. 20 €,A. 20 €.,True
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,B. 88,"54.

    The context provides the number of available positions for each course in the selection extraordinary for the academic year 2024/2025. For the course of Science of Materials, the number of available positions is 54.",False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,D. 23/09/2024,"B
    The text of the correct answer is: 16/09/2024",False
"Chi è la Responsabile del procedimento, secondo il testo?",C. dott.ssa Barbara Froio,C. dott.ssa Barbara Froio,True
"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","C. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.","C
    C. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.",True
Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,A. 9 maggio 2024,"B
    B. 6 maggio 2024",False
Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",True
"Quanti posti sono disponibili per il corso di Astronomia (Codice 8004) per i cittadini italiani, dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE?",B. 35,"A
    The number of available seats for the course of Astronomy (Codice 8004) for Italian citizens, European citizens, non-UE equipped citizens, and non-UE citizens residing abroad who must compete with EU citizens is 75.",False
Quanti posti sono riservati ai cittadini non-UE residenti all'estero per il corso di laurea in Fisica a Bologna?,B. 2,"A. 3.
    The number of posti riservati a “cittadini non -UE residenti all’estero ” per il corso di laurea in Fisica a Bologna è 3.",False
Entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono al corso con uno dei titoli elencati in 3.2.a?,C. 30 dicembre 2024,C. 30 dicembre 2024.,True
"Secondo il bando, quando viene solitamente pubblicato il bando per l'ammissione ad anni successivi al primo?",D.  tra luglio e settembre 2024,"D
    D. tra luglio e settembre 2024",True
"In quale delle seguenti situazioni un cittadino non-UE residente all'estero, titolare di permesso di soggiorno per motivi di studio,  perderà i requisiti per il soggiorno in Italia?",D. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università,"D
    The text of the correct answer is: D. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università",True
"Per la prima selezione del TOLC-I, quali date sono valide per la partecipazione?",A. Dal 1° gennaio 2023 al 29 aprile 2024,"D
    D. Dal 1° gennaio 2024 al 29 aprile 2024",False
Quali sono gli adattamenti possibili per gli studenti con DSA che scelgono di sostenere il TOLC presso l'Ateneo di Bologna?,A. Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.,"A.
    Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.",True
"Per partecipare alla seconda selezione per l'ammissione ai corsi, qual è il periodo di candidatura?","D. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","B
    Dal 10 settembre 2024 al 19 settembre 2024, ore 13.00",False
"Secondo le istruzioni fornite, quando è necessario inviare l'attestato TOLC alla Segreteria Studenti?",D. Solo se non è possibile ricevere automaticamente il TOLC associato al tuo nominativo.,"D
    Dovrai inviare l’attestato alla Segreteria Studenti solo se non sarà possibile ricevere automaticamente il TOLC associato al tuo nominativo (Sezione 4.3 ).",True
"Qual è la data limite per la presentazione di un certificato di conoscenza della lingua italiana per i cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE, per la prima selezione?",B. 22/04/2024,"B
    The text of the correct answer is: 22/04/2024",True
"Per il corso di Scienze Biologiche, quale peso viene attribuito al punteggio ottenuto nella sezione di Matematica del TOLC-I?",D. 0.75,"D
    D. 0.75",True
In quale caso un candidato otterrà un Obblighi Formativi Aggiuntivi (OFA) durante la seconda selezione?,"C. Se il punteggio TOLC-I è inferiore a 19 per Matematica o inferiore a 11 per i corsi di Astronomia, Chimica e Chimica dei Materiali, Chimica Industriale, Fisica, Scienza dei Materiali, Scienze Biologiche e Scienze Naturali.","C. If the punteggio TOLC-I is inferior to 19 for Matematica or inferior to 11 for the courses of Astronomy, Chimica and Chimica dei Materiali, Chimica Industriale, Fisica, Scienza dei Materiali, Scienze Biologiche, and Scienze Naturali.",True
Cosa succede se un candidato è stato classificato come “Vincitore” nella graduatoria del corso di riserva ma anche come “Idoneo” nel corso di maggior interesse durante la seconda selezione?,"D. Può immatricolarsi al corso di riserva e, se lo desidera, dichiarare il suo interesse per un possibile spostamento nel corso di maggior interesse.","D
    The text of the correct answer is: D. Può immatricolarsi al corso di riserva e, se lo desidera, dichiarare il suo interesse per un possibile spostamento nel corso di maggior interesse.",True
"Se sei stato classificato come “Idoneo” in entrambi i corsi di studi scelti, cosa puoi fare?",D. Dichiarare il tuo interesse al recupero per entrambi i corsi seguendo le indicazioni della Sezione 4.5.,"D
    The text of the correct answer is: Dichiarare il tuo interesse al recupero per entrambi i corsi seguendo le indicazioni della Sezione 4.5.",True
"In quale periodo è possibile dichiarare l'interesse al recupero per la prima selezione, secondo recupero?",B. Dal 27 maggio 2024 al 30 maggio 2024,"C
    The text of the correct answer is: Dal 16 maggio 2024 al 23 maggio 2024.",False
Quando è possibile dichiarare l'interesse allo spostamento al corso di maggior interesse dopo la prima selezione?,B. Dal 27 maggio 2024 al 30 maggio 2024,"B
    Dal 27 maggio 2024 al 30 maggio 2024",True
"In quale periodo è possibile richiedere lo spostamento per la prima selezione, secondo spostamento?",C. Dal 27 maggio 2024 al 30 maggio 2024,"C
    C. Dal 27 maggio 2024 al 30 maggio 2024",True
"Qual è la data limite per l'immatricolazione per i vincitori della prima selezione, se si è ottenuto un posto tramite il recupero?",B. Dal 30 maggio 2024 al 10 giugno 2024,C. Dal 16 maggio 2024 al 23 maggio 2024.,False
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,B. 28 febbraio 2025,"B
    B. 28 febbraio 2025",True
Entro quale data un studente deve richiedere il riconoscimento di precedenti carriere universitarie concluse?,A. 28 novembre 2024,A. 28 novembre 2024.,True
Entro quando è necessario presentare la domanda di passaggio di corso per chi ha ottenuto un posto tramite la prima selezione?,B. tra il 25 luglio 2024 e il 26 agosto 2024,A. tra il 16 maggio 2024 e il 23 maggio 2024.,False
In quale periodo è possibile richiedere il passaggio di corso per la seconda selezione?,A. Tra il 25 luglio 2024 e il 30 luglio 2024 (per chi ha ottenuto un posto a seguito di recupero: tra il 1° agosto 2024 e il 26 agosto 2024 – per il primo recupero – o tra il 29 agosto 2024 e il 3 settembre 2024 – per il secondo recupero),"A.
    Tra il 25 luglio 2024 e il 30 luglio 2024 (per chi ha ottenuto un posto a seguito di recupero: tra il 1° agosto 2024 e il 26 agosto 2024 – per il primo recupero – o tra il 29 agosto 2024 e il 3 settembre 2024 – per il secondo recupero)",True
"Per ottenere le agevolazioni sulla contribuzione studentesca in funzione dell'ISEE, qual è il periodo di riferimento per i CFU validi?",B.  dal 11/08/2022 al 10/08/2023,"C
    C. dal 11/08/2023 al 10/08/2024",False
"Qual è la data limite per l'immatricolazione a seguito del primo recupero per gli studenti classificati ""I doneo"" nella seconda selezione?",B. Dal 1° agosto 2024 al 26 agosto 2024,"D
    D. Dal 27 maggio 2024 al 30 maggio 2024",False
"Per ottenere l'esonero totale o la riduzione della contribuzione studentesca, qual è il periodo temporale entro cui i CFU devono essere stati acquisiti?",B. Dal 1° agosto 2023 al 10 agosto 2024,B. Dal 1° agosto 2023 al 10 agosto 2024.,True
