domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,A. TOLC-I,A. TOLC-I,True
Qual è la principale funzione del Coordinatore del Corso?,C. La pianificazione degli indirizzi del Consiglio.,D. La formulanza di proposte in tema di organizzazione della didattica.,False
Qual è la durata del tirocinio curriculare?,D. 150 ore,"D
    The text of the correct answer is: 150 ore",True
Qual è il valore di 1 CFU in ore?,A. 25,A. 25,True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025",True
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,C. Dal 02/05/2024 al 15/07/2023 alle 13:00.,"B.
    Dal 04/03/2024 al 30/04/2024 alle 13:00.",False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"C. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.","C
    The text of the correct answer is: Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,"B
    The text of the correct answer is: Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.",True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,C. Descrivere la struttura del corso.,D. Presentare le modalità di accesso al corso.,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,A. La mia e-mail Studenti,A. La mia e-mail Studenti.,True
Qual è l'indirizzo della sede del corso in Cesena?,"C. Via Montalti 69, 47521 Cesena (FC)","C. Via Montalti 69, 47521 Cesena (FC)",True
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,"D
    The text of the correct answer is: La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 15 del Regolamento universitario.",False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,A. La possibilità di continuare un eventuale corso magistrale.,"B
    The text of the correct answer is: La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.",False
Qual è il periodo in cui devi iscriverti al corso di studio?,A. Fino al conseguimento del titolo accademico.,B. Fino al pagamento della prima rata.,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,C. Studiare all'estero,D. Borse di studio e agevolazioni.,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,C. Ampia scelta di corsi complementari in numerosi ambiti.,C. Ampia scelta di corsi complementari in numerosi ambiti.,True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,A. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,"A
    The text of the correct answer is:
    Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.",True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,"D.
    The text of the correct answer is: Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.",True
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,A. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,A. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,C. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,"C
    The text of the correct answer is: Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.",True
Qual è il nome del docente inserito nel testo?,B. Non inserito nel testo,D. Marco Antonio Boschetti,False
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,A. La conservazione della struttura del corso,"D
    The text of the correct answer is:  Potenziare le competenze in certi ambiti emergenti",False
