domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,B. Numero programmato - TOLC-I,B. Numero programmato - TOLC-I.,True
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,C.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,D. Esercizio del potere di nomina dei professori del corso.,False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","C
    The text of the correct answer is:
    C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,C. Servizi di tutorato dedicati al supporto peer to peer.,C. Servizi di tutorato dedicati al supporto peer to peer.,True
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","A. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",D. Quando il relatore richiede un voto di 5 o 6 punti e la Commissione esprime unanimemente il proprio parere positivo.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,D. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,"B

    The statement ""Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse."" is false.",False
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",C. 1 ora e 50 minuti,C. 1 ora e 50 minuti.,True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,D. 20 €,"C
    The text of the correct answer is: 50 €",False
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,B. 88,"D
    The number of positions available for the course of Laurea in Scienza dei Materiali in the extraordinary selection for the academic year 2024/2025 is 50.",False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,B. 23/09/2024,"D
    The text of the correct answer is: 15/09/2024",False
"Chi è la Responsabile del procedimento, secondo il testo?",A. dott.ssa Barbara Froio,A. dott.ssa Barbara Froio.,True
"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","A. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.","D.
    Seguendo le modalità indicate sul sito del CISIA, www.cisiaonline.it.",False
Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,B. 9 maggio 2024,"B
    B. 9 maggio 2024",True
Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"A. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","C
    C. Dal 25 luglio 2024 al 30 luglio 2024",False
"Quanti posti sono disponibili per il corso di Astronomia (Codice 8004) per i cittadini italiani, dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE?",D. 35,"C. 2.

    The context provides the number of seats available for the course of Astronomy (Codice 8004) for the following categories:

    - 38 Italia/UE/categorie equiparate*
    - 2 non -UE residenti all’estero

    The answer is the number of seats available for the category ""2 non -UE residenti all’estero"".",False
Quanti posti sono riservati ai cittadini non-UE residenti all'estero per il corso di laurea in Fisica a Bologna?,A. 2,"D
    The text of the correct answer is: 3",False
Entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono al corso con uno dei titoli elencati in 3.2.a?,D. 30 dicembre 2024,"D
    The text of the correct answer is: 30 dicembre 2024",True
"Secondo il bando, quando viene solitamente pubblicato il bando per l'ammissione ad anni successivi al primo?",B.  tra luglio e settembre 2024,"D
    D. tra ottobre e dicembre 2024",False
"In quale delle seguenti situazioni un cittadino non-UE residente all'estero, titolare di permesso di soggiorno per motivi di studio,  perderà i requisiti per il soggiorno in Italia?",D. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università,"D

    The text of the correct answer is:  Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università",True
"Per la prima selezione del TOLC-I, quali date sono valide per la partecipazione?",A. Dal 1° gennaio 2023 al 29 aprile 2024,"D
    The text of the correct answer is: Dal 1° gennaio 2023 al 29 aprile 2024",False
Quali sono gli adattamenti possibili per gli studenti con DSA che scelgono di sostenere il TOLC presso l'Ateneo di Bologna?,B. Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.,"B
    Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.",True
