domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,D. Numero programmato - TOLC-I,C,False
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,D.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,B,False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","B. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",B,True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,C. Servizi di tutorato dedicati al supporto peer to peer.,C,True
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","B. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",C,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,C. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,C,True
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",C. 1 ora e 50 minuti,C,True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,B. 20 €,C,False
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,D. 88,C,False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,A. 23/09/2024,D,False
"Chi è la Responsabile del procedimento, secondo il testo?",C. dott.ssa Barbara Froio,D,False
"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","C. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.",B,False
Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,B. 9 maggio 2024,C,False
Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"D. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",D,True
"Quanti posti sono disponibili per il corso di Astronomia (Codice 8004) per i cittadini italiani, dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE?",B. 35,C,False
Quanti posti sono riservati ai cittadini non-UE residenti all'estero per il corso di laurea in Fisica a Bologna?,B. 2,D,False
Entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono al corso con uno dei titoli elencati in 3.2.a?,B. 30 dicembre 2024,C,False
"Secondo il bando, quando viene solitamente pubblicato il bando per l'ammissione ad anni successivi al primo?",B.  tra luglio e settembre 2024,C,False
"In quale delle seguenti situazioni un cittadino non-UE residente all'estero, titolare di permesso di soggiorno per motivi di studio,  perderà i requisiti per il soggiorno in Italia?",B. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università,B,True
"Per la prima selezione del TOLC-I, quali date sono valide per la partecipazione?",D. Dal 1° gennaio 2023 al 29 aprile 2024,D,True
Quali sono gli adattamenti possibili per gli studenti con DSA che scelgono di sostenere il TOLC presso l'Ateneo di Bologna?,C. Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.,C,True
"Per partecipare alla seconda selezione per l'ammissione ai corsi, qual è il periodo di candidatura?","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",C,True
"Secondo le istruzioni fornite, quando è necessario inviare l'attestato TOLC alla Segreteria Studenti?",D. Solo se non è possibile ricevere automaticamente il TOLC associato al tuo nominativo.,A,False
"Qual è la data limite per la presentazione di un certificato di conoscenza della lingua italiana per i cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE, per la prima selezione?",A. 22/04/2024,C,False
"Per il corso di Scienze Biologiche, quale peso viene attribuito al punteggio ottenuto nella sezione di Matematica del TOLC-I?",A. 0.75,C,False
In quale caso un candidato otterrà un Obblighi Formativi Aggiuntivi (OFA) durante la seconda selezione?,"A. Se il punteggio TOLC-I è inferiore a 19 per Matematica o inferiore a 11 per i corsi di Astronomia, Chimica e Chimica dei Materiali, Chimica Industriale, Fisica, Scienza dei Materiali, Scienze Biologiche e Scienze Naturali.",D,False
Cosa succede se un candidato è stato classificato come “Vincitore” nella graduatoria del corso di riserva ma anche come “Idoneo” nel corso di maggior interesse durante la seconda selezione?,"D. Può immatricolarsi al corso di riserva e, se lo desidera, dichiarare il suo interesse per un possibile spostamento nel corso di maggior interesse.",D,True
"Se sei stato classificato come “Idoneo” in entrambi i corsi di studi scelti, cosa puoi fare?",B. Dichiarare il tuo interesse al recupero per entrambi i corsi seguendo le indicazioni della Sezione 4.5.,A,False
"In quale periodo è possibile dichiarare l'interesse al recupero per la prima selezione, secondo recupero?",B. Dal 27 maggio 2024 al 30 maggio 2024,B,True
Quando è possibile dichiarare l'interesse allo spostamento al corso di maggior interesse dopo la prima selezione?,C. Dal 27 maggio 2024 al 30 maggio 2024,C,True
"In quale periodo è possibile richiedere lo spostamento per la prima selezione, secondo spostamento?",C. Dal 27 maggio 2024 al 30 maggio 2024,C,True
"Qual è la data limite per l'immatricolazione per i vincitori della prima selezione, se si è ottenuto un posto tramite il recupero?",B. Dal 30 maggio 2024 al 10 giugno 2024,B,True
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,A. 28 febbraio 2025,D,False
Entro quale data un studente deve richiedere il riconoscimento di precedenti carriere universitarie concluse?,A. 28 novembre 2024,C,False
Entro quando è necessario presentare la domanda di passaggio di corso per chi ha ottenuto un posto tramite la prima selezione?,B. tra il 25 luglio 2024 e il 26 agosto 2024,C,False
In quale periodo è possibile richiedere il passaggio di corso per la seconda selezione?,B. Tra il 25 luglio 2024 e il 30 luglio 2024 (per chi ha ottenuto un posto a seguito di recupero: tra il 1° agosto 2024 e il 26 agosto 2024 – per il primo recupero – o tra il 29 agosto 2024 e il 3 settembre 2024 – per il secondo recupero),B,True
"Per ottenere le agevolazioni sulla contribuzione studentesca in funzione dell'ISEE, qual è il periodo di riferimento per i CFU validi?",B.  dal 11/08/2022 al 10/08/2023,D,False
"Qual è la data limite per l'immatricolazione a seguito del primo recupero per gli studenti classificati ""I doneo"" nella seconda selezione?",C. Dal 1° agosto 2024 al 26 agosto 2024,D,False
"Per ottenere l'esonero totale o la riduzione della contribuzione studentesca, qual è il periodo temporale entro cui i CFU devono essere stati acquisiti?",A. Dal 1° agosto 2023 al 10 agosto 2024,C,False
Qual è la data limite per la presentazione dell'ISEE per poter beneficiare di eventuali agevolazioni universitarie?,"C.  Non è specificata una data limite precisa per la presentazione dell'ISEE, ma si sottolinea l'importanza di presentarlo entro le scadenze previste per evitare di perdere eventuali agevolazioni.",C,True
