domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,D. TOLC-I,D. TOLC-I,True
Qual è la principale funzione del Coordinatore del Corso?,B. La pianificazione degli indirizzi del Consiglio.,A. La formulanza di proposte in tema di organizzazione della didattica.,False
Qual è la durata del tirocinio curriculare?,C. 150 ore,D. 6 mesi,False
Qual è il valore di 1 CFU in ore?,B. 25,C. 100,False
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","D. Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024",False
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,C. Dal 02/05/2024 al 15/07/2023 alle 13:00.,D. Dal 01/01/2023 al 12 luglio 2024 alle 13:00.,False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"D. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.","D. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,D. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,D. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,B. Descrivere la struttura del corso.,D. Definire lobar organizzazione del corso.,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,B. La mia e-mail Studenti,B. La mia e-mail Studenti,True
Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)","D. Palazzo Urbinati - Via Montalti 69, 47521 Cesena (FC)",False
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,C. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,D. art. 13 del Regolamento universitario.,False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,B. La possibilità di continuare un eventuale corso magistrale.,D. La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.,False
Qual è il periodo in cui devi iscriverti al corso di studio?,D. Fino al conseguimento del titolo accademico.,C. Fino alla fine del corso di studio.,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,C. Studiare all'estero,B. Trasorti e mobilità,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,C. Ampia scelta di corsi complementari in numerosi ambiti.,C. Ampia scelta di corsi complementari in numerosi ambiti.,True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,True
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,C. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,C. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,True
Qual è il nome del docente inserito nel testo?,B. Non inserito nel testo,D. Andrea Amidei,False
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,C. La conservazione della struttura del corso,D. Sviluppare competenze trasversali per lavorare in team,False
Il laureato è in grado di eseguire...,A. Il laureato è in grado di eseguire...,C. Il laureato è in grado di eseguire...,False
Qual è la principale funzione del corso di laurea in Ingegneria e Scienze Informatiche?,"A. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico","A. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico",True
Qual è il nuovo regolamento per l'uso del Marchio dell'Ateneo?,D. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale.,D. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale.,True
Qual è l'evento che è stato recentemente aperto?,C. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici,C. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici,True
Qual è il principale compito della segreteria studentesca in questo contesto?,A. La gestione delle carriere degli studenti iscritti al Corso.,C. Il rilascio di certificati e duplicati.,False
Qual è la durata del tirocinio curriculare?,D. La durata del tirocinio curriculare è pari a 25 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.,B. 40 ore,False
Qual è l’obiettivo principale di questo corso di tirocinio?,D. Caricare la domanda di tirocinio su https://tirocini.unibo.it,D. Caricare la domanda di tirocinio su https://tirocini.unibo.it,True
Il presente regolamento contiene quali tipi di tirocini curriculari?,"D. tirocinio curriculare, tirocinio in preparazione della prova finale, tirocinio professionalizzante post laurea","C. tirocinio di laurea, tirocinio di dottorato, tirocinio post laurea",False
Qual è l'obiettivo principale del tirocinio curriculare?,C. Aquire competenze professionalizzanti attraverso l'esecuzione di attività pratiche.,C. Aquire competenze professionalizzanti attraverso l dia attività pratiche.,True
Qual è lo scopo della relazione di tirocinio in questo corso?,C. Illustrare il contesto in cui è stato effettuato il tirocinio e elencare le attività svolte.,C. Illustrare il contesto in cui è stato effettuato il tirocinio e elencare le attività svolte.,True
Qual è la principale funzione del laureato in questo corso?,A. Conoscere e applicare conoscenze e competenze di comprensione.,A. Conoscere e applicare conoscenerne e competenze di comprensione.,True
Qual è il titolo di studio rilasciato al termine di un corso di studio in Ingegneria e Scienze Informatiche?,D. Dottore in Ingegneria e Scienze Informatiche,D. Dottore in Ingegneria e Scienze Informatiche,True
Qual è il nuovo calcolo della media di laurea per laureandi con carriera pregressa?,D. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività riconosciute da precedenti carriere già chiuse.,D. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'esclusione dei voti delle attività riconosciute da precedenti carriere già chiuse.,True
Qual è l'obiettivo della verifica delle conoscenze nell'iscrizione al corso?,B. Verificare che il candidato non abbia carenze significative in particolari discipline per cui è richiesta un'adeguata preparazione per affrontare con profitto il Corso.,B. Verificare che il candidato non abbia carenze significative in particolari discipline per cui è richiesta un'adeguata preparazione per affrontare con profitto il Corso.,True
Qual è l'obiettivo principale del corso di laurea in Informatica?,C. L'apprendimento dei principi dell'ingegneria del software,C. L'apprendimento dei principi dell'ingegneria del software,True
Qual è il processo per ottenere la laurea in Ingegneria Scienze Informatiche?,B. Adhere strictamente alle linee guida per la redazione della tesi in Lingua Italiana.,C. Confermare la validità della tesi con il docente.,False
Qual è il titolo del lavoro di laurea descritto nel testo?,C. Il titolo del lavoro di laurea è descritto nel testo.,C. Il titolo del lavoro di laurea è descritto nel testo.,True
Qual è la durata della prova scritta per la materia di Ingegneria del Software?,C. 40 minuti,C. 40 minuti,True
Qual è la durata del secondo periodo di esami del corso?,D. Dal 03/06/2024 all'inizio delle lezioni dell'a. a.\xa02024/25 (settembre 2024),C. Dal 11/06/2024 all'inizio delle lezioni dell'a. a.\xa02025/26 (settembre 2025),False
Qual è l'obiettivo principale del programma 'Muoversi in città: agevolazioni e sostenibilità per la comunità Unibo'?,B. Promuovere la sostenibilità della mobilità universitaria.,B. Promuovere la sostenibilità della mobilità universitaria.,True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,D. Sapere le basi di programmazione per sviluppare software,D. Sapere le basi di programmazione per sviluppare software,True
Qual è l'obiettivo del corso di Ingegneria e Scienze Informatiche?,C. Proporre agli studenti lo studio dell’informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.,C. Proporre agli studenti lo studio dell’informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.,True
"Qual è la differenza tra “Ingegneria Informatica” (BO), “Informatica” ( BO) e “Ingegneria e Scienze Informatiche”?","C. Il corso di Ingegneria Informatica utilizza un maggior numero di esami quali “Elettronica”, “Controlli Automatici”, “Elettrotecnica”, mentre il corso di Informatica utilizza un maggior numero di esami legato all’Informatica teorica e alla modellazione formale di sistemi.","C. Il corso di Ingegneria Informatica utilizza un maggior numero di esami quali “Elettronica”, “Controlli Automatici”, “Elettrotecnica”, mentre il corso di Informatica utilizza un maggior numero di esami legato all’Informatica teorica e alla modellazione formale di sistemi.",True
Qual è il corso di laurea triennale che si svolge in Cesena nel Dipartimento di Informatica – Scienza e Ingegneria?,C. Ingegneria e Scienze,D. Informatiche,False
Qual è il requisito principale per complete la relazione finale del corso di laurea?,B. Deve essere frutto di approfondimento di un lavoro individuale.,D. Deve sviluppare il tema di approfondimento in modo articolato e completo.,False
Qual è la validità della domanda di laurea?,C. La domanda di laurea è valida per un solo anno accademico.,B. La domanda di laurea è valida per quattro anni accademici.,False
Qual è il diritto d’autore sulla tesi di laurea?,"C. Il diritto d’autore sulla tesi, sia morali che patrimoniali, spettano al laureando.","C. Il diritto d’autore sulla tesi, sia morali che patrimoniali, spettano al laureando.",True
Qual è il requisito principale per complete la relazione finale del corso?,A. Deve essere frutto di approfondimento di un lavoro individuale.,D. Deve sviluppare il tema di approfondimento in modo articolato e completo.,False
Qual è il formato del file della tesi?,"A. PDF testuale, con frontespizio, in base al modello fornito dal CdS","C. PDF testuale, con frontespizio, in base al modello fornito dal CdS, ma con protezione o password",False
Qual è il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025?,B. Il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025 è disponibile sul sito web della università.,D. Il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025 è disponibile sul sito web della facoltà di ingegneria scienze informatiche.,False
Qual è il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025?,C. Il piano didattico per studenti immatricolati nell'a.a. 2024-25 è disponibile sul sito web della università.,C. Il piano didattico per studenti immatricolati nell'a.a. 2024-25 è disponibile sul sito web della università.,True
Qual è il periodo in cui si tengono le lezioni di un insegnamento di questo corso?,A. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025,A. 18/09/2024 - 10/06/2025,True
Qual è il periodo in cui si tengono le lezioni di un insegnamento di questo corso?,B. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025,B. 18/09/2024 - 10/06/2025,True
Qual è l'anno in cui si svolgeranno le lezioni del corso di laurea in Ingegneria e scienze informatiche?,C. Il 2024/2025,D. Il 2023/2024,False
Qual è il principale obiettivo di questo corso di laurea?,B. Sapere la storia della letteratura italiana,B. Sapere la storia della letteratura italiana,True
"Qual è l'obiettivo del modulo ""Giustificativo per il datore di lavoro""?",B. Cercare di certificare l'assenza lavorativa in caso di partecipazione alle lezioni o prove d'esame.,B. Cercare di certificare l dia lavorativa in caso di partecipazione alle lezioni o prove d esame.,True
Qual è il servizio di tutorato del corso di studio?,D. Il servizio di tutorato del corso di studio fornisce indicazioni sull’organizzazione e la didattica degli insegnamenti.,D. Il servizio di tutorato del corso di studio fornisce indicazioni sull’organizzazione e la didattica degli insegnamenti.,True
"Qual è la principale funzione del ruolo di Analista, Progettista e Programmatore di Software?","A. Analizzare, progettare e sviluppare nuove applicazioni informatiche e/o evoluzione di applicazioni software esistenti.","A. Analizzare, progettare e sviluppare nuove applicazioni informatiche e/o evoluzione di applicazioni software esistenti.",True
Qual è l'obiettivo principale del sito web del corso?,A. Presentazione del corso,C. Fornire informazioni sull'accessibilità del sito,False
Qual è il periodo massimo di validità per il soggiorno all'estero?,A. Sei mesi,D. Nove mesi,False
Qual è l'obiettivo principale delle sale studio Alfa Albatros e Beta a Cesena?,D. Ricercati individuali o di gruppo,D. Ricercati individuali o di gruppo,True
Qual è la media di laurea in Ingegneria e scienze informatiche?,D. La media in trentesimi viene sommata alla media ponderata di tutti gli esami con voto in trentesimi sostenuti nel piano di studio.,D. La media in trentesimi viene sommata alla media ponderata di tutti gli esami con voto in trentesimi sostenuti nel piano di studio.,True
Qual è l'obbligatorio percorso formativo sulla salute e sicurezza nei luoghi di lavoro previsti dal Decreto Legislativo 81/2008?,B. La formazione generale (Modulo 1) svolta presso l’Ateneo di Bologna o altro ente,B. La formazione generale (Modulo 1) svolta presso l’Ateneo di Bologna o altro ente,True
Qual è l'obiettivo della validazione dell'identità digitale?,B. Associare l’account nome.cognome@studio.unibo.it a quanto hai dichiarato in fase di immatricolazione.,B. associare l'account nome.cognome@studio.unibooz.it a quanto hai dichiarato in fase di immatricolazione.,True
