domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,C. TOLC-I,C,True
Qual è la principale funzione del Coordinatore del Corso?,B. La pianificazione degli indirizzi del Consiglio.,A,False
Qual è la durata del tirocinio curriculare?,B. 150 ore,B,True
Qual è il valore di 1 CFU in ore?,C. 25,C,True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"B. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025",B,True
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,A. Dal 02/05/2024 al 15/07/2023 alle 13:00.,C,False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"C. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",C,True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,C. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,C,True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,D. Descrivere la struttura del corso.,A,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,D. La mia e-mail Studenti,D,True
Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)",A,True
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,2,False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,D. La possibilità di continuare un eventuale corso magistrale.,D,True
Qual è il periodo in cui devi iscriverti al corso di studio?,D. Fino al conseguimento del titolo accademico.,C,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,D. Studiare all'estero,C,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,C. Ampia scelta di corsi complementari in numerosi ambiti.,C,True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,C,True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,D,False
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,B,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,D. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,D,True
Qual è il nome del docente inserito nel testo?,D. Non inserito nel testo,D,True
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,D. La conservazione della struttura del corso,B,False
